GeneSymbol	S08_Treat_F	S10_Treat_F	S12_Cont_M	S13_Cont_M	S14_Cont_M	S15_Treat_F	S16_Treat_M	S20_Treat_F	S21_Cont_M	S22_Treat_F	S24_Treat_M	S25_Cont_M	S26_Treat_F	S27_Cont_F	S28_Treat_F	S30_Cont_M	S31_Treat_M	S32_Cont_F	S33_Cont_M
USP42	60.7577965111535	53.3109211392245	68.242835030827	59.3131321128296	63.9010346354082	77.7193749316197	69.6950630905316	49.1065626930042	53.9381668066792	54.1505170049262	61.4926391531136	51.9131894342859	58.5780914535173	57.342449301684	52.660099321914	49.3643034589948	52.5565132395956	58.3473191270469	54.441507942607
USP44	9.70750451979116	9.89971982681983	19.4343527206842	10.8401160489488	10.9095658977254	13.3343662758431	11.1879557385196	7.60322180606427	12.0864443264145	9.93042131526738	10.1655818782258	8.25398890785441	9.42426321100473	9.87825512399375	6.3230884375078	11.7553831378347	12.7777410028469	10.9131183704003	8.55522289257949
USP45	52.5297551099084	47.73779020694	65.713455168428	55.6812275520109	51.9580586578323	52.7926447288334	59.7560001846354	42.4571733895389	52.8069489272474	49.217987093469	48.1624907871343	47.8566735299487	52.1341181820707	52.5020407484826	51.1783324636196	52.6400981306457	54.5388137848205	51.1340622912574	47.0535061443085
USP46	75.8990489436393	62.0615780765599	74.5357825524399	76.92456238247	67.2232974011507	75.3270039459354	89.8346650687042	47.9037944871609	70.1613134417218	70.3100437393301	89.4849429877178	72.2175821810981	65.4600159376222	68.4926342332814	69.0219809365425	70.1333846657451	81.6808896069833	70.6865173542844	61.5622917663266
USP47	219.954828736223	174.213793832871	254.133734023418	248.172917426225	179.882478224213	214.842186458799	238.865728968295	169.22149100541	210.812805188169	211.454447470979	193.590793473002	189.272518905354	193.597463822706	220.506650603439	170.264471982545	191.218518604228	170.693930513414	234.659782719356	214.521682856936
USP49	13.1425728195397	12.3315979349555	9.08860359723855	11.2539055163545	11.7349694938373	6.46817213343918	13.9109309457051	15.4800849166718	13.6411367866371	15.5486125175957	12.7489258056133	12.7654155091829	13.7685891158333	16.653985454557	13.3812841718939	12.7241538811919	11.9260943430342	19.5572558342946	15.402818436346
USP5	95.3191529099447	92.9137644103021	71.4677310792085	83.8138595184587	91.9812862873773	56.5533580656966	86.8188948565249	96.262681722646	85.012446405628	94.18426872126	82.5986497449125	100.166836947266	83.5416551165786	93.9181147402803	104.595175780783	94.5005490224597	97.8804596250363	91.127173090942	93.4131834851693
USP50	1.28326732951821	1.28326732951821	1.28326732951821	2.03755064162491	2.27430764332391	1.28326732951821	1.71813409537992	1.28326732951821	1.28326732951821	1.28326732951821	1.28326732951821	1.28326732951821	1.28326732951821	1.28326732951821	1.28326732951821	1.28326732951821	1.85561336395873	1.68572188204068	1.70419881019466
USP53	43.789928036606	59.8722957812814	72.8455153430164	33.3449472106984	32.8957105992253	71.3128665711276	53.8249174673566	54.255757368718	73.1115303436749	52.5777639675542	49.0416436756395	47.2279685677971	80.331328054202	81.7615163994709	45.2294703086346	58.6655994889537	51.6241834319478	73.9042368250445	34.4820053417794
USP6NL	57.3094507868758	38.9996406708352	81.3285918936811	57.0714753447906	47.1555015879743	58.7672906128041	78.2766333962798	61.5276422656459	64.7363564998357	69.3777206543617	66.726442389919	60.0242587119157	79.7880955050225	72.2234354231584	43.8440269794283	70.7609902299763	61.3971995994745	90.4972816422268	74.7322017662266
USP7	124.826003575379	107.771248216047	136.734332578679	125.64930330539	112.231642912933	151.59895925676	134.304751938492	101.019971820676	121.681172717965	120.649072864838	127.972268371351	108.347177593183	126.263041367711	119.307347435937	112.220235220207	111.524122500285	118.838828162852	124.979197581189	120.116686686842
USP8	150.766785792577	131.36677457694	163.993809816201	159.688843353545	169.227367451567	190.420949532134	179.427816115801	135.955851187819	146.059973932176	156.889153804925	154.19859896001	140.876113333276	168.527307497659	150.59975112377	145.185182167659	147.398438922071	141.431774206543	160.405157356741	149.27110587342
USPL1	51.4838962915791	37.283515764182	50.5216047346557	52.688125985684	38.0340988990534	47.0651414455666	50.209647232098	34.5325609046042	41.8954878753019	52.436808502621	44.8053534154347	44.132529297337	42.4443534585062	42.0727676676656	39.1749548874584	41.9924451599576	38.3306197366928	56.373663516164	50.7174655209986
UST	58.6297282485672	71.4984931827813	95.7441171612905	76.645061603421	81.4956127728975	98.1081633702892	81.0458659269889	59.9629274730677	79.7257142106585	71.1624237221066	75.924980490067	63.2742258937717	86.9427511113468	88.0145372216709	59.1498802402822	77.2540116893463	59.0433849162049	89.5311663560954	87.303454882072
UTP11	47.2001773027306	52.3107128044406	43.7376675716744	49.3408528124638	56.2719175084577	48.8758589602839	47.5062009752567	53.7169268955192	48.1169368031814	51.0922070902393	52.5551139423901	54.618332341519	48.99763151567	44.0883625731941	45.8304514872214	47.1002268859407	50.775764982276	41.4358507933695	44.5809225724106
UTP15	19.3676608281394	20.3919314263221	29.20544662255	29.5584458505622	31.4542108626845	22.7625246593827	32.957649914354	17.3047421785385	29.8749495180286	19.1534002046127	30.7490846818695	27.6872452130069	19.5597238370707	20.6787795888367	19.378239780102	26.8711662299247	28.4054221256009	20.3495938001105	30.1857651734227
UTP18	46.701097330873	42.6364328953205	42.5313874048757	39.6973871476905	53.0497766996555	39.9433241830502	50.3308354755391	40.5168702785753	42.6895484689293	47.5348253723221	45.9683114833	48.8399352833153	54.2321829044463	52.8514986896674	44.4095114887664	37.7663539143462	44.6190983123272	50.4886131221393	45.4700230747434
UTP20	60.2433034557373	53.2589912596452	76.1900142616961	55.1224680461251	62.6061825940076	53.1124730348965	72.9124462062999	48.2556064942393	51.9264892114212	62.0974601395835	56.7107110776442	49.6987699665514	51.7246341151735	66.8946378036206	48.1772389419283	47.3424572873719	54.4134310833405	69.1357295569577	62.9355283620104
UTP23	43.6379869499775	36.2641763362307	35.5348120821748	42.4904900685515	39.5453731193417	66.7984501105335	29.9563191437912	40.834672549847	40.3804600029385	43.1985328398118	44.3956465760487	41.8117817218747	44.4501486568273	31.0074610324793	37.4498588272665	40.0467361217772	37.1743508881104	36.664794805885	36.3405898849378
UTP3	33.40953684655	29.2412108990668	28.4810710105967	39.6589500942926	31.8555498239666	28.7531097424763	26.6040032841149	29.807625096205	30.4860747923036	31.2068265490324	33.6434368697715	32.9256341952235	25.2512877074453	30.359276332516	32.5761451707793	31.3689510427795	30.7441559885694	31.3587612855173	31.9849284723843
